#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
42200, 20601.228012, 0.173108, 20601.401120, 20612.152234, 0.189670, 20612.341903
42400, 20796.537275, 0.197212, 20796.734487, 20799.976944, 0.208699, 20800.185643
42600, 20991.870475, 0.223869, 20992.094344, 20996.492682, 0.222796, 20996.715478
42800, 21188.050487, 0.257102, 21188.307589, 21201.593037, 0.240404, 21201.833440
43000, 21387.576851, 0.270365, 21387.847216, 21405.801537, 0.227908, 21406.029445
43200, 21598.182363, 0.286878, 21598.469241, 21596.718191, 0.207055, 21596.925246
43400, 21788.936432, 0.270245, 21789.206677, 21800.437713, 0.200545, 21800.638258
43600, 21990.947699, 0.258446, 21991.206145, 22001.500467, 0.213392, 22001.713859
43800, 22190.467289, 0.242407, 22190.709697, 22215.205124, 0.195963, 22215.401088
44000, 22397.926384, 0.219197, 22398.145581, 22401.002539, 0.173397, 22401.175936
44200, 22598.282365, 0.236600, 22598.518965, 22611.593508, 0.168050, 22611.761559
44400, 22806.096537, 0.265638, 22806.362175, 22816.198807, 0.157096, 22816.355903
44600, 23017.963920, 0.277386, 23018.241306, 23020.590093, 0.150046, 23020.740139
44800, 23230.031035, 0.290204, 23230.321239, 23225.510234, 0.143225, 23225.653458
45000, 23431.453968, 0.286553, 23431.740521, 23438.493426, 0.141678, 23438.635104
45200, 23636.384539, 0.283475, 23636.668014, 23653.030056, 0.137411, 23653.167467
45400, 23840.074044, 0.294306, 23840.368350, 23853.456982, 0.130566, 23853.587548
45600, 24062.236820, 0.306656, 24062.543476, 24066.994314, 0.134417, 24067.128731
45800, 24272.426214, 0.328565, 24272.754779, 24280.619333, 0.167670, 24280.787003
46000, 24485.834162, 0.329859, 24486.164022, 24496.311051, 0.177453, 24496.488505
46200, 24704.786157, 0.300228, 24705.086385, 24711.312075, 0.155483, 24711.467558
46400, 24919.173853, 0.285302, 24919.459156, 24911.630366, 0.150675, 24911.781041
46600, 25134.993831, 0.256126, 25135.249957, 25132.921167, 0.149843, 25133.071010
46800, 25351.782901, 0.241304, 25352.024205, 25344.956331, 0.117481, 25345.073813
47000, 25571.372150, 0.238081, 25571.610231, 25554.001264, 0.099085, 25554.100349
47200, 25788.303396, 0.222917, 25788.526313, 25769.744678, 0.110276, 25769.854954
